,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active,Serious/Critical,Cases/million,Deaths/million,Total Tests,Tests/million
Moldova,"261,256",+256,"6,295 ",+4,"253,310",+167,"1,651",78,"64,931","1,565","1,467,675","364,769"
Slovenia,"260,619",+248,"4,433 ",,"254,434",+85,"1,752",7,"125,342","2,132","1,407,021","676,695"
Armenia,"233,001",+391,"4,664 ",+6,"221,729",+139,"6,608",,"78,468","1,571","1,409,091","474,541"
Vietnam,"232,937","+4,802","4,145 ",,"80,348",,"148,444",,"2,369",42,"13,629,949","138,646"
Qatar,"228,346",+227,601 ,,"225,420",+207,"2,325",23,"81,325",214,"2,391,827","851,849"
S. Korea,"216,206","+2,219","2,135 ",+1,"189,506","+1,983","24,565",387,"4,213",42,"12,156,200","236,880"
Kenya,"215,730","+1,974","4,241 ",+30,"199,439",+653,"12,050",135,"3,917",77,"2,218,566","40,280"
Bosnia and Herzegovina,"206,655",+179,"9,694 ",,"191,841",+316,"5,120",,"63,426","2,975","1,092,969","335,453"
Zambia,"201,342",+512,"3,509 ",+10,"193,547",+211,"4,286",243,"10,624",185,"2,160,757","114,017"
Algeria,"184,191",+844,"4,654 ",+36,"123,434",+675,"56,103",31,"4,118",104,"230,861","5,162"
Nigeria,"179,118",,"2,194 ",,"166,131",,"10,793",11,846,10,"2,542,261","12,005"
Mongolia,"176,993","+1,433",863 ,+3,"171,011","+2,262","5,119",192,"53,046",259,"3,446,882","1,033,048"
Kyrgyzstan,"170,353",+382,"2,420 ",+7,"160,051",+771,"7,882",195,"25,644",364,"1,585,006","238,594"
North Macedonia,"159,269",+588,"5,521 ",+8,"150,613",+26,"3,135",,"76,451","2,650","1,033,882","496,276"
Afghanistan,"151,563",+272,"6,988 ",+10,"105,028",+723,"39,547","1,124","3,799",175,"735,869","18,445"
Norway,"142,321",+322,807 ,+2,"88,952",,"52,562",2,"26,027",148,"6,775,622","1,239,106"
Latvia,"139,707",+120,"2,561 ",,"136,096",+142,"1,050",15,"74,988","1,375","3,213,905","1,725,073"
Uzbekistan,"139,285",+903,948 ,+7,"132,613",+832,"5,724",23,"4,096",28,"1,377,915","40,521"
Estonia,"135,856",+344,"1,279 ",+2,"130,003",+387,"4,574",4,"102,338",963,"1,664,064","1,253,510"
